 Inner phase shift
   8.9509612349278588E-003
 Coulomb phase shift
   0.0000000000000000     
 #       R              P(R)            Q(R)
   1.39461060E-03  0.00000000E+00  0.00000000E+00
   1.42201540E-03  0.00000000E+00  0.00000000E+00
   1.44995670E-03  0.00000000E+00  0.00000000E+00
   1.47844500E-03  0.00000000E+00  0.00000000E+00
   1.50749100E-03  0.00000000E+00  0.00000000E+00
   1.53710570E-03  0.00000000E+00  0.00000000E+00
   1.56730010E-03  0.00000000E+00  0.00000000E+00
   1.59808560E-03  0.00000000E+00  0.00000000E+00
   1.62947380E-03  0.00000000E+00  0.00000000E+00
   1.66147650E-03  0.00000000E+00  0.00000000E+00
   1.69410570E-03  0.00000000E+00  0.00000000E+00
   1.72737360E-03  0.00000000E+00  0.00000000E+00
   1.76129290E-03  0.00000000E+00  0.00000000E+00
   1.79587610E-03  0.00000000E+00  0.00000000E+00
   1.83113640E-03  0.00000000E+00  0.00000000E+00
   1.86708690E-03  0.00000000E+00  0.00000000E+00
   1.90374120E-03  0.00000000E+00  0.00000000E+00
   1.94111310E-03  0.00000000E+00  0.00000000E+00
   1.97921650E-03  0.00000000E+00  0.00000000E+00
   2.01806590E-03  0.00000000E+00  0.00000000E+00
   2.05767580E-03  0.00000000E+00  0.00000000E+00
   2.09806110E-03  0.00000000E+00  0.00000000E+00
   2.13923700E-03  0.00000000E+00  0.00000000E+00
   2.18121900E-03  0.00000000E+00  0.00000000E+00
   2.22402280E-03  0.00000000E+00  0.00000000E+00
   2.26766450E-03  0.00000000E+00  0.00000000E+00
   2.31216050E-03  0.00000000E+00  0.00000000E+00
   2.35752750E-03  0.00000000E+00  0.00000000E+00
   2.40378270E-03  0.00000000E+00  0.00000000E+00
   2.45094330E-03  0.00000000E+00  0.00000000E+00
   2.49902710E-03  0.00000000E+00  0.00000000E+00
   2.54805210E-03  0.00000000E+00  0.00000000E+00
   2.59803690E-03  0.00000000E+00  0.00000000E+00
   2.64900010E-03  0.00000000E+00  0.00000000E+00
   2.70096090E-03  0.00000000E+00  0.00000000E+00
   2.75393890E-03  0.00000000E+00  0.00000000E+00
   2.80795380E-03  0.00000000E+00  0.00000000E+00
   2.86302620E-03  0.00000000E+00  0.00000000E+00
   2.91917650E-03  0.00000000E+00  0.00000000E+00
   2.97642600E-03  0.00000000E+00  0.00000000E+00
   3.03479620E-03  0.00000000E+00  0.00000000E+00
   3.09430890E-03  0.00000000E+00  0.00000000E+00
   3.15498650E-03  0.00000000E+00  0.00000000E+00
   3.21685180E-03  0.00000000E+00  0.00000000E+00
   3.27992820E-03  0.00000000E+00  0.00000000E+00
   3.34423920E-03  0.00000000E+00  0.00000000E+00
   3.40980900E-03  0.00000000E+00  0.00000000E+00
   3.47666230E-03  0.00000000E+00  0.00000000E+00
   3.54482410E-03  0.00000000E+00  0.00000000E+00
   3.61432020E-03  0.00000000E+00  0.00000000E+00
   3.68517650E-03  0.00000000E+00  0.00000000E+00
   3.75741980E-03  0.00000000E+00  0.00000000E+00
   3.83107710E-03  0.00000000E+00  0.00000000E+00
   3.90617610E-03  0.00000000E+00  0.00000000E+00
   3.98274510E-03  0.00000000E+00  0.00000000E+00
   4.06081280E-03  0.00000000E+00  0.00000000E+00
   4.14040840E-03  0.00000000E+00  0.00000000E+00
   4.22156200E-03  0.00000000E+00  0.00000000E+00
   4.30430400E-03  0.00000000E+00  0.00000000E+00
   4.38866550E-03  0.00000000E+00  0.00000000E+00
   4.47467810E-03  0.00000000E+00  0.00000000E+00
   4.56237420E-03  0.00000000E+00  0.00000000E+00
   4.65178670E-03  0.00000000E+00  0.00000000E+00
   4.74294920E-03  0.00000000E+00  0.00000000E+00
   4.83589600E-03  0.00000000E+00  0.00000000E+00
