 #  DHFS: self-consistent potential and electron density.     ALPHA = 1.500000E+00
 #  Z =  79,  Aw = 1.969665E+02 g/mol,  number of electrons =  7.900000E+01     (Vext = Vnuc+Vel)
 #      R          R*Vext(R)      R*Vnuc(R)      R*Vel(R)       R*Vex(R)        rho(R)
  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.1810695E+06
  2.2171762E-05 -2.1022792E+01 -2.1036329E+01  1.3537397E-02 -4.2393003E-03  2.1688860E+06
  2.2706842E-05 -2.1517850E+01 -2.1531714E+01  1.3864098E-02 -4.3412157E-03  2.1682967E+06
  2.3252399E-05 -2.2021696E+01 -2.2035893E+01  1.4197195E-02 -4.4450979E-03  2.1676819E+06
  2.3808637E-05 -2.2534442E+01 -2.2548979E+01  1.4536814E-02 -4.5509836E-03  2.1670407E+06
  2.4375765E-05 -2.3056202E+01 -2.3071085E+01  1.4883082E-02 -4.6589100E-03  2.1663720E+06
  2.4953998E-05 -2.3587085E+01 -2.3602321E+01  1.5236130E-02 -4.7689152E-03  2.1656747E+06
  2.5543552E-05 -2.4127200E+01 -2.4142796E+01  1.5596089E-02 -4.8810375E-03  2.1649478E+06
  2.6144648E-05 -2.4676654E+01 -2.4692617E+01  1.5963096E-02 -4.9953162E-03  2.1641900E+06
  2.6757514E-05 -2.5235549E+01 -2.5251887E+01  1.6337289E-02 -5.1117912E-03  2.1634002E+06
  2.7382379E-05 -2.5803988E+01 -2.5820707E+01  1.6718807E-02 -5.2305027E-03  2.1625771E+06
  2.8019478E-05 -2.6382067E+01 -2.6399175E+01  1.7107795E-02 -5.3514920E-03  2.1617195E+06
  2.8669052E-05 -2.6969881E+01 -2.6987385E+01  1.7504399E-02 -5.4748007E-03  2.1608260E+06
  2.9331343E-05 -2.7567518E+01 -2.7585427E+01  1.7908768E-02 -5.6004711E-03  2.1598952E+06
  3.0006601E-05 -2.8175065E+01 -2.8193387E+01  1.8321053E-02 -5.7285464E-03  2.1589258E+06
  3.0695081E-05 -2.8792602E+01 -2.8811344E+01  1.8741411E-02 -5.8590701E-03  2.1579162E+06
  3.1397040E-05 -2.9420203E+01 -2.9439373E+01  1.9169998E-02 -5.9920866E-03  2.1568650E+06
  3.2112743E-05 -3.0057938E+01 -3.0077545E+01  1.9606976E-02 -6.1276408E-03  2.1557706E+06
  3.2842458E-05 -3.0705868E+01 -3.0725921E+01  2.0052509E-02 -6.2657785E-03  2.1546314E+06
  3.3586461E-05 -3.1364049E+01 -3.1384556E+01  2.0506765E-02 -6.4065459E-03  2.1534457E+06
  3.4345031E-05 -3.2032527E+01 -3.2053497E+01  2.0969914E-02 -6.5499900E-03  2.1522118E+06
  3.5118453E-05 -3.2711341E+01 -3.2732783E+01  2.1442130E-02 -6.6961584E-03  2.1509279E+06
  3.5907018E-05 -3.3400521E+01 -3.3422444E+01  2.1923592E-02 -6.8450994E-03  2.1495923E+06
  3.6711022E-05 -3.4100085E+01 -3.4122499E+01  2.2414480E-02 -6.9968619E-03  2.1482029E+06
  3.7530768E-05 -3.4810041E+01 -3.4832956E+01  2.2914978E-02 -7.1514955E-03  2.1467580E+06
  3.8366564E-05 -3.5530387E+01 -3.5553812E+01  2.3425275E-02 -7.3090506E-03  2.1452555E+06
  3.9218724E-05 -3.6261104E+01 -3.6285049E+01  2.3945562E-02 -7.4695780E-03  2.1436933E+06
  4.0087569E-05 -3.7002163E+01 -3.7026639E+01  2.4476035E-02 -7.6331292E-03  2.1420694E+06
  4.0973424E-05 -3.7753518E+01 -3.7778535E+01  2.5016894E-02 -7.7997565E-03  2.1403815E+06
  4.1876624E-05 -3.8515108E+01 -3.8540676E+01  2.5568341E-02 -7.9695128E-03  2.1386275E+06
  4.2797508E-05 -3.9286853E+01 -3.9312983E+01  2.6130584E-02 -8.1424514E-03  2.1368051E+06
  4.3736422E-05 -4.0068656E+01 -4.0095360E+01  2.6703834E-02 -8.3186265E-03  2.1349119E+06
  4.4693719E-05 -4.0860400E+01 -4.0887689E+01  2.7288307E-02 -8.4980929E-03  2.1329456E+06
  4.5669759E-05 -4.1661945E+01 -4.1689829E+01  2.7884222E-02 -8.6809058E-03  2.1309036E+06
  4.6664909E-05 -4.2473129E+01 -4.2501621E+01  2.8491804E-02 -8.8671212E-03  2.1287836E+06
  4.7679543E-05 -4.3293764E+01 -4.3322875E+01  2.9111280E-02 -9.0567957E-03  2.1265828E+06
  4.8714043E-05 -4.4123637E+01 -4.4153380E+01  2.9742884E-02 -9.2499862E-03  2.1242986E+06
  4.9768797E-05 -4.4962505E+01 -4.4992892E+01  3.0386852E-02 -9.4467506E-03  2.1219285E+06
  5.0844203E-05 -4.5810095E+01 -4.5841139E+01  3.1043427E-02 -9.6471470E-03  2.1194696E+06
  5.1940664E-05 -4.6666103E+01 -4.6697815E+01  3.1712856E-02 -9.8512342E-03  2.1169193E+06
  5.3058592E-05 -4.7530186E+01 -4.7562582E+01  3.2395390E-02 -1.0059072E-02  2.1142745E+06
  5.4198409E-05 -4.8401969E+01 -4.8435060E+01  3.3091285E-02 -1.0270719E-02  2.1115325E+06
  5.5360542E-05 -4.9281032E+01 -4.9314833E+01  3.3800804E-02 -1.0486237E-02  2.1086904E+06
  5.6545429E-05 -5.0166917E+01 -5.0201442E+01  3.4524212E-02 -1.0705686E-02  2.1057451E+06
  5.7753514E-05 -5.1059118E+01 -5.1094380E+01  3.5261781E-02 -1.0929127E-02  2.1026938E+06
  5.8985253E-05 -5.1957082E+01 -5.1993096E+01  3.6013790E-02 -1.1156623E-02  2.0995333E+06
  6.0241109E-05 -5.2860203E+01 -5.2896984E+01  3.6780519E-02 -1.1388235E-02  2.0962606E+06
  6.1521552E-05 -5.3767823E+01 -5.3805385E+01  3.7562258E-02 -1.1624027E-02  2.0928727E+06
  6.2827066E-05 -5.4679223E+01 -5.4717582E+01  3.8359299E-02 -1.1864061E-02  2.0893664E+06
  6.4158140E-05 -5.5593625E+01 -5.5632797E+01  3.9171944E-02 -1.2108401E-02  2.0857387E+06
  6.5515276E-05 -5.6510185E+01 -5.6550185E+01  4.0000495E-02 -1.2357110E-02  2.0819864E+06
  6.6898983E-05 -5.7427988E+01 -5.7468833E+01  4.0845266E-02 -1.2610254E-02  2.0781066E+06
  6.8309781E-05 -5.8346049E+01 -5.8387756E+01  4.1706574E-02 -1.2867897E-02  2.0740961E+06
  6.9748202E-05 -5.9263304E+01 -5.9305888E+01  4.2584741E-02 -1.3130104E-02  2.0699519E+06
  7.1214786E-05 -6.0178607E+01 -6.0222087E+01  4.3480098E-02 -1.3396940E-02  2.0656709E+06
  7.2710084E-05 -6.1090730E+01 -6.1135123E+01  4.4392981E-02 -1.3668471E-02  2.0612503E+06
  7.4234658E-05 -6.1998354E+01 -6.2043678E+01  4.5323734E-02 -1.3944764E-02  2.0566871E+06
  7.5789083E-05 -6.2900067E+01 -6.2946339E+01  4.6272705E-02 -1.4225886E-02  2.0519786E+06
  7.7373941E-05 -6.3794361E+01 -6.3841601E+01  4.7240251E-02 -1.4511902E-02  2.0471220E+06
  7.8989830E-05 -6.4679630E+01 -6.4727857E+01  4.8226735E-02 -1.4802882E-02  2.0421147E+06
  8.0637356E-05 -6.5554166E+01 -6.5603399E+01  4.9232529E-02 -1.5098892E-02  2.0369542E+06
  8.2317139E-05 -6.6416161E+01 -6.6466419E+01  5.0258009E-02 -1.5400002E-02  2.0316382E+06
  8.4029810E-05 -6.7263702E+01 -6.7315006E+01  5.1303561E-02 -1.5706280E-02  2.0261644E+06
  8.5776014E-05 -6.8094780E+01 -6.8147150E+01  5.2369577E-02 -1.6017795E-02  2.0205308E+06
  8.7556407E-05 -6.8907290E+01 -6.8960747E+01  5.3456458E-02 -1.6334619E-02  2.0147357E+06
  8.9371658E-05 -6.9699041E+01 -6.9753606E+01  5.4564612E-02 -1.6656822E-02  2.0087774E+06
