 Inner phase shift
  -7.4436630690042332E-002
 Coulomb phase shift
   6.6559957353976501E-005
 #       R              P(R)            Q(R)
   2.56406760E-01  5.23584249E-45  7.47340002E-45
   2.60941570E-01  1.27510665E-44  1.78821056E-44
   2.65510304E-01  3.07747985E-44  4.24114137E-44
   2.70112537E-01  7.36173732E-44  9.97142341E-44
   2.74747848E-01  1.74561784E-43  2.32427916E-43
   2.79415817E-01  4.10344747E-43  5.37183023E-43
   2.84116029E-01  9.56370632E-43  1.23113299E-42
   2.88848069E-01  2.21018029E-42  2.79822023E-42
   2.93611527E-01  5.06523293E-42  6.30809523E-42
   2.98405995E-01  1.15129644E-41  1.41058371E-41
   3.03231069E-01  2.59559134E-41  3.12916333E-41
   3.08086350E-01  5.80486188E-41  6.88700562E-41
   3.12971439E-01  1.28794843E-40  1.50400462E-40
   3.17885945E-01  2.83530797E-40  3.25932526E-40
   3.22829477E-01  6.19356818E-40  7.00985265E-40
   3.27801650E-01  1.34265310E-39  1.49635673E-39
   3.32802084E-01  2.88876198E-39  3.17065088E-39
   3.37830400E-01  6.16917541E-39  6.66945366E-39
   3.42886227E-01  1.30783152E-38  1.39284151E-38
   3.47969195E-01  2.75249939E-38  2.88817388E-38
   3.53078940E-01  5.75167522E-38  5.94696362E-38
   3.58215101E-01  1.19342086E-37  1.21606608E-37
   3.63377324E-01  2.45903670E-37  2.46972255E-37
   3.68565257E-01  5.03208510E-37  4.98203681E-37
   3.73778553E-01  1.02277828E-36  9.98324310E-37
   3.79016869E-01  2.06492382E-36  1.98737583E-36
   3.84279868E-01  4.14146085E-36  3.93069372E-36
   3.89567216E-01  8.25215823E-36  7.72459935E-36
   3.94878585E-01  1.63374007E-35  1.50846938E-35
   4.00213648E-01  3.21392893E-35  2.92743016E-35
   4.05572087E-01  6.28294764E-35  5.64626600E-35
   4.10953585E-01  1.22067470E-34  1.08241955E-34
   4.16357832E-01  2.35711491E-34  2.06264116E-34
   4.21784519E-01  4.52418490E-34  3.90732264E-34
   4.27233345E-01  8.63202525E-34  7.35860864E-34
   4.32704012E-01  1.63731153E-33  1.37786223E-33
   4.38196225E-01  3.08765814E-33  2.56532202E-33
   4.43709694E-01  5.78947129E-33  4.74936839E-33
   4.49244135E-01  1.07942496E-32  8.74418028E-33
   4.54799266E-01  2.00134259E-32  1.60111514E-32
   4.60374810E-01  3.69025994E-32  2.91592748E-32
   4.65970495E-01  6.76752177E-32  5.28216038E-32
   4.71586051E-01  1.23443925E-31  9.51824157E-32
   4.77221213E-01  2.23978772E-31  1.70624448E-31
   4.82875722E-01  4.04268913E-31  3.04294339E-31
   4.88549319E-01  7.25920412E-31  5.39936647E-31
   4.94241753E-01  1.29685442E-30  9.53269863E-31
   4.99952775E-01  2.30518059E-30  1.67471314E-30
   5.05682138E-01  4.07715949E-30  2.92781385E-30
   5.11429603E-01  7.17590302E-30  5.09391273E-30
   5.17194930E-01  1.25686376E-29  8.82044854E-30
   5.22977887E-01  2.19088145E-29  1.52015087E-29
   5.28778242E-01  3.80096991E-29  2.60774360E-29
   5.34595770E-01  6.56357277E-29  4.45297426E-29
   5.40430246E-01  1.12818817E-28  7.56949867E-29
   5.46281452E-01  1.93037992E-28  1.28097258E-28
   5.52149170E-01  3.28812500E-28  2.15820210E-28
   5.58033188E-01  5.57599030E-28  3.62032318E-28
   5.63933296E-01  9.41428557E-28  6.04684106E-28
   5.69849288E-01  1.58258676E-27  1.00567674E-27
   5.75780962E-01  2.64902013E-27  1.66555589E-27
   5.81728115E-01  4.41532795E-27  2.74696368E-27
   5.87690554E-01  7.32862858E-27  4.51191738E-27
   5.93668082E-01  1.21139619E-26  7.38082892E-27
   5.99660510E-01  1.99422798E-26  1.20255750E-26
   6.05667651E-01  3.26971235E-26  1.95156882E-26
   6.11689319E-01  5.33962952E-26  3.15471025E-26
   6.17725333E-01  8.68560164E-26  5.07987019E-26
   6.23775514E-01  1.40732997E-25  8.14859848E-26
   6.29839685E-01  2.27153241E-25  1.30217608E-25
   6.35917673E-01  3.65248408E-25  2.07315620E-25
   6.42009308E-01  5.85090745E-25  3.28842977E-25
   6.48114421E-01  9.33775417E-25  5.19706054E-25
   6.54232848E-01  1.48478807E-24  8.18385215E-25
   6.60364425E-01  2.35238039E-24  1.28412238E-24
   6.66508992E-01  3.71355287E-24  2.00780377E-24
   6.72666391E-01  5.84155278E-24  3.12838077E-24
   6.78836467E-01  9.15674255E-24  4.85756321E-24
   6.85019068E-01  1.43035819E-23  7.51682734E-24
   6.91214042E-01  2.22667354E-23  1.15926957E-23
   6.97421241E-01  3.45456044E-23  1.78190390E-23
   7.03640520E-01  5.34158152E-23  2.72992094E-23
   7.09871735E-01  8.23197039E-23  4.16867022E-23
   7.16114744E-01  1.26447550E-22  6.34515400E-23
   7.22369408E-01  1.93599964E-22  9.62718214E-23
   7.28635590E-01  2.95463394E-22  1.45607451E-22
   7.34913155E-01  4.49490709E-22  2.19538233E-22
   7.41201970E-01  6.81665364E-22  3.29984411E-22
   7.47501905E-01  1.03055179E-21  4.94478810E-22
   7.53812829E-01  1.55321255E-21  7.38732224E-22
   7.60134617E-01  2.33382668E-21  1.10033612E-21
   7.66467143E-01  3.49620507E-21  1.63409130E-21
   7.72810284E-01  5.22191161E-21  2.41965441E-21
   7.79163918E-01  7.77642483E-21  3.57247894E-21
   7.85527927E-01  1.15467987E-20  5.25942610E-21
   7.91902193E-01  1.70957232E-20  7.72097630E-21
   7.98286599E-01  2.52389065E-20  1.13027443E-20
   8.04681032E-01  3.71555314E-20  1.65000728E-20
   8.11085379E-01  5.45454874E-20  2.40209591E-20
