 # Test of the spline interpolation (output from subroutine SPLERR)
 #        x                y(x)          y_spline(x)      rel.dif.
   4.2591207830E-01  4.5504725387E+00  4.5504633522E+00  2.0188E-06
   4.3564423929E-01  4.4738836935E+00  4.4738887281E+00  1.1253E-06
   4.4537640027E-01  4.3989265079E+00  4.3989171237E+00  2.1333E-06
   4.5342614662E-01  4.3381407567E+00  4.3381619363E+00  4.8822E-06
   4.5840383359E-01  4.3010956636E+00  4.3010910580E+00  1.0708E-06
   4.6088460106E-01  4.2827517812E+00  4.2827484111E+00  7.8689E-07
   4.6602537481E-01  4.2449917647E+00  4.2450129026E+00  4.9795E-06
   4.7433885958E-01  4.1848451301E+00  4.1848357502E+00  2.2414E-06
   4.8438988089E-01  4.1136240335E+00  4.1136292948E+00  1.2790E-06
   4.9444090219E-01  4.0440171850E+00  4.0440078181E+00  2.3162E-06
   5.0275438696E-01  3.9876454118E+00  3.9876666805E+00  5.3337E-06
   5.0789516071E-01  3.9533248731E+00  3.9533202850E+00  1.1606E-06
   5.1045155893E-01  3.9363746881E+00  3.9363712762E+00  8.6677E-07
   5.1573772575E-01  3.9015726767E+00  3.9015938922E+00  5.4377E-06
   5.2428633525E-01  3.8461944992E+00  3.8461851484E+00  2.4312E-06
   5.3462162287E-01  3.7807124062E+00  3.7807176475E+00  1.3863E-06
   5.4495691050E-01  3.7168138948E+00  3.7168047811E+00  2.4520E-06
   5.5350551999E-01  3.6651384479E+00  3.6651591479E+00  5.6478E-06
   5.5879168682E-01  3.6337096748E+00  3.6337052317E+00  1.2227E-06
   5.6141557722E-01  3.6182230807E+00  3.6182197412E+00  9.2295E-07
   5.6683163554E-01  3.5864968487E+00  3.5865174863E+00  5.7543E-06
   5.7559030115E-01  3.5360635117E+00  3.5360544351E+00  2.5669E-06
   5.8617954708E-01  3.4765086753E+00  3.4765137034E+00  1.4463E-06
   5.9676879301E-01  3.4184777071E+00  3.4184690601E+00  2.5295E-06
   6.0552745863E-01  3.3716075005E+00  3.3716270918E+00  5.8107E-06
   6.1094351695E-01  3.3431273530E+00  3.3431231625E+00  1.2535E-06
   6.1362777756E-01  3.3291208838E+00  3.3291177094E+00  9.5353E-07
   6.1916018016E-01  3.3004810626E+00  3.3005005861E+00  5.9153E-06
   6.2810699378E-01  3.2549929314E+00  3.2549843438E+00  2.6383E-06
   6.3892371107E-01  3.2013383037E+00  3.2013429871E+00  1.4629E-06
   6.4974042836E-01  3.1491183837E+00  3.1491103655E+00  2.5462E-06
   6.5868724198E-01  3.1069851029E+00  3.1070032053E+00  5.8264E-06
   6.6421964458E-01  3.0814018572E+00  3.0813979954E+00  1.2532E-06
   6.6695805324E-01  3.0688403680E+00  3.0688374240E+00  9.5932E-07
   6.7259496856E-01  3.0431955171E+00  3.0432135501E+00  5.9257E-06
   6.8171079663E-01  3.0024907606E+00  3.0024828203E+00  2.6446E-06
   6.9273185274E-01  2.9545187647E+00  2.9545230265E+00  1.4425E-06
   7.0375290886E-01  2.9078698452E+00  2.9078625575E+00  2.5062E-06
   7.1286873692E-01  2.8702591400E+00  2.8702755317E+00  5.7109E-06
   7.1850565225E-01  2.8474335384E+00  2.8474300493E+00  1.2253E-06
   7.2129277318E-01  2.8362408405E+00  2.8362381660E+00  9.4295E-07
   7.2702386155E-01  2.8134197182E+00  2.8134360421E+00  5.8022E-06
   7.3629198306E-01  2.7772123803E+00  2.7772051826E+00  2.5917E-06
   7.4749716228E-01  2.7345636379E+00  2.7345674442E+00  1.3919E-06
   7.5870234151E-01  2.6931130000E+00  2.6931064886E+00  2.4178E-06
   7.6797046302E-01  2.6597076765E+00  2.6597222698E+00  5.4868E-06
   7.7370155138E-01  2.6394399655E+00  2.6394368652E+00  1.1746E-06
   7.7653263083E-01  2.6295120485E+00  2.6295096605E+00  9.0816E-07
   7.8234884251E-01  2.6092904509E+00  2.6093049804E+00  5.5684E-06
   7.9175462253E-01  2.5772139151E+00  2.5772074997E+00  2.4893E-06
   8.0312623121E-01  2.5394395765E+00  2.5394429249E+00  1.3185E-06
   8.1449783988E-01  2.5027335572E+00  2.5027278232E+00  2.2911E-06
   8.2390361991E-01  2.4731556809E+00  2.4731684908E+00  5.1796E-06
   8.2971983158E-01  2.4552112681E+00  2.4552085514E+00  1.1065E-06
   8.3259070472E-01  2.4464286561E+00  2.4464265543E+00  8.5914E-07
   8.3848410207E-01  2.4285541261E+00  2.4285668775E+00  5.2506E-06
   8.4801470414E-01  2.4002002318E+00  2.4001945942E+00  2.3488E-06
   8.5953722295E-01  2.3668077686E+00  2.3668106777E+00  1.2291E-06
   8.7105974176E-01  2.3343558038E+00  2.3343508156E+00  2.1369E-06
   8.8059034384E-01  2.3082017469E+00  2.3082128595E+00  4.8144E-06
   8.8648374119E-01  2.2923322307E+00  2.2923298778E+00  1.0264E-06
   8.8939075064E-01  2.2845700005E+00  2.2845681727E+00  8.0008E-07
   8.9535435378E-01  2.2687816388E+00  2.2687926989E+00  4.8749E-06
   9.0499849027E-01  2.2437316054E+00  2.2437267099E+00  2.1818E-06
   9.1665827244E-01  2.2142203616E+00  2.2142228632E+00  1.1298E-06
   9.2831805460E-01  2.1855285436E+00  2.1855242483E+00  1.9653E-06
   9.3796219110E-01  2.1623952561E+00  2.1624048016E+00  4.4143E-06
   9.4392579423E-01  2.1483540095E+00  2.1483519914E+00  9.3936E-07
   9.4686571972E-01  2.1414891356E+00  2.1414875619E+00  7.3486E-07
   9.5289337375E-01  2.1275319720E+00  2.1275414712E+00  4.4649E-06
   9.6264109118E-01  2.1053785761E+00  2.1053743674E+00  1.9990E-06
   9.7442610293E-01  2.0792648740E+00  2.0792670071E+00  1.0259E-06
   9.8621111468E-01  2.0538592573E+00  2.0538555906E+00  1.7853E-06
   9.9595883211E-01  2.0333622380E+00  2.0333703699E+00  3.9993E-06
   1.0019864861E+00  2.0209149495E+00  2.0209132327E+00  8.4952E-07
   1.0049564841E+00  2.0148312112E+00  2.0148298677E+00  6.6680E-07
   1.0110427456E+00  2.0024656775E+00  2.0024737692E+00  4.0409E-06
   1.0208852410E+00  1.9828276934E+00  1.9828241054E+00  1.8096E-06
   1.0327848396E+00  1.9596609033E+00  1.9596627092E+00  9.2153E-07
